// WARNING: ensure this file is saved in text CSV format when modifying this file,,,
// PM_METRIC,IPM_ONLY,NAME,DESCRIPTION
,,,
PM_METRIC_APPLICATION,,Application,The name of the process that generated the frame.
PM_METRIC_PROCESS_ID,,Process ID,The process ID of the process that generated the frame.
PM_METRIC_SWAP_CHAIN_ADDRESS,,Swap Chain Address,The address of the swap chain used to present the frame.
PM_METRIC_PRESENT_RUNTIME,,Present Runtime,The API used to present the frame.
PM_METRIC_SYNC_INTERVAL,,Sync Interval,"The sync interval provided by the application when presenting the frame. Note: this value may be modified later by the driver, e.g., based on control panel overrides."
PM_METRIC_PRESENT_FLAGS,,Present Flags,The present flags provided by the application when presenting the frame.
PM_METRIC_ALLOWS_TEARING,,Allows Tearing,"1 if partial frames might be displayed on the screen, or 0 if only full frames are displayed."
PM_METRIC_PRESENT_MODE,,Present Mode,The presentation mode used by the system for this frame.  See the table below for more details.
PM_METRIC_FRAME_TYPE,,Frame Type,Whether the frame was rendered by the application or generated by a driver/SDK.
,,,
PM_METRIC_CPU_START_TIME,,CPU Start Time,The time the CPU started working on this frame.
PM_METRIC_CPU_START_QPC,1,CPU Start QPC,"The time the CPU started working on this frame, as a QueryPerformanceCounter() value."
PM_METRIC_CPU_FRAME_TIME,1,FrameTime-App,How long it took from the start of this frame until the CPU started working on the next frame.
PM_METRIC_CPU_BUSY,,Ms CPU Busy,How long the CPU spent working on this frame before presenting it.
PM_METRIC_CPU_WAIT,,Ms CPU Wait,How long the CPU spent waiting before starting the next frame.
,,,
PM_METRIC_GPU_LATENCY,,Ms GPU Latency,How long it took from the start of this frame until the GPU started working on it.
PM_METRIC_GPU_TIME,,Ms GPU Time,The total amount of time that GPU was working on this frame.
PM_METRIC_GPU_BUSY,,Ms GPU Busy,"How long the GPU was actively working on this frame (i.e., the time during which at least one GPU engine is executing work from the target process)."
PM_METRIC_GPU_WAIT,,Ms GPU Wait,How long the GPU was idle while working on this frame.
PM_METRIC_VIDEO_BUSY,,Video Busy,How long the GPU video encode/decode engines were actively working on this frame.
,,,
PM_METRIC_DISPLAY_LATENCY,,Display Latency,How long it took from the start of this frame until the frame was displayed on the screen.
PM_METRIC_DISPLAYED_TIME,,Displayed Time,"How long the frame was displayed on the screen, or 'NA' if the frame was not displayed."
PM_METRIC_ANIMATION_ERROR,,Ms Animation Error,"The difference between the previous frame's CPU delta and display delta."
PM_METRIC_ANIMATION_TIME,,Animation Time,The time the CPU started animation work on this frame.
PM_METRIC_CLICK_TO_PHOTON_LATENCY,,Ms Click To Photon Latency,How long it took from the earliest mouse click that contributed to this frame until this frame was displayed.
PM_METRIC_ALL_INPUT_TO_PHOTON_LATENCY,,Ms All Input To Photon Latency,How long it took from the earliest keyboard or mouse interaction that contributed to this frame until this frame was displayed.
,,,
PM_METRIC_DISPLAYED_FPS,1,FPS-Display,The rate at which new frames are being displayed on the screen.
